Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26
BACW_53_2	(11.0, 25.0)	(12.0, 415.0)	(13.0, 1801.0)	(14.0, 5250.0)	(15.0, 11925.0)	(16.0, 22409.0)	(17.0, 37418.0)	(18.0, 56331.0)	(19.0, 79629.0)	(20.0, 113444.0)	(21.0, 172102.0)	(22.0, 281170.0)	(23.0, 465364.0)	(24.0, 734082.0)	(25.0, 1085377.0)	(26.0, 1532900.0)	(27.0, 2101692.0)	(28.0, 2815643.0)	(29.0, 3748809.0)	(30.0, 5004691.0)	(31.0, 6820947.0)	(32.0, 9715505.0)	(33.0, 14715447.0)	(34.0, 24754588.0)	(35.0, 50015533.0)	(36.0, 80538556.0)	(37.0, 1745983.0)
BACW_53_2_val_2	(11.0, 70.0)	(12.0, 559.0)	(13.0, 1939.0)	(14.0, 5225.0)	(15.0, 11450.0)	(16.0, 20797.0)	(17.0, 32819.0)	(18.0, 45905.0)	(19.0, 63536.0)	(20.0, 90242.0)	(21.0, 143551.0)	(22.0, 241441.0)	(23.0, 416688.0)	(24.0, 665353.0)	(25.0, 1005918.0)	(26.0, 1416397.0)	(27.0, 1964765.0)	(28.0, 2622742.0)	(29.0, 3544567.0)	(30.0, 4716669.0)	(31.0, 6503146.0)	(32.0, 9150677.0)	(33.0, 13982297.0)	(34.0, 23685874.0)	(35.0, 48751502.0)	(36.0, 84105800.0)	(37.0, 3302693.0)
BACW_55_1	(13.0, 5.0)	(14.0, 20.0)	(15.0, 111.0)	(16.0, 475.0)	(17.0, 1407.0)	(18.0, 3673.0)	(19.0, 9079.0)	(20.0, 20514.0)	(21.0, 45659.0)	(22.0, 98113.0)	(23.0, 201625.0)	(24.0, 385003.0)	(25.0, 679788.0)	(26.0, 1111132.0)	(27.0, 1703813.0)	(28.0, 2494103.0)	(29.0, 3550492.0)	(30.0, 4936174.0)	(31.0, 6787765.0)	(32.0, 9481720.0)	(33.0, 13863151.0)	(34.0, 22745956.0)	(35.0, 49574608.0)	(36.0, 130397999.0)	(37.0, 3595881.0)		
BACW_55_1_val_1	(12.0, 1.0)	(13.0, 5.0)	(14.0, 31.0)	(15.0, 146.0)	(16.0, 570.0)	(17.0, 1599.0)	(18.0, 4519.0)	(19.0, 10829.0)	(20.0, 25132.0)	(21.0, 56304.0)	(22.0, 118090.0)	(23.0, 233528.0)	(24.0, 418231.0)	(25.0, 706092.0)	(26.0, 1100026.0)	(27.0, 1652611.0)	(28.0, 2375398.0)	(29.0, 3373925.0)	(30.0, 4651667.0)	(31.0, 6433289.0)	(32.0, 8911329.0)	(33.0, 13167777.0)	(34.0, 21906380.0)	(35.0, 48272402.0)	(36.0, 131372340.0)	(37.0, 6775337.0)	
BACW_55_2	(11.0, 41.0)	(12.0, 596.0)	(13.0, 2770.0)	(14.0, 7319.0)	(15.0, 17567.0)	(16.0, 34132.0)	(17.0, 57884.0)	(18.0, 86084.0)	(19.0, 119305.0)	(20.0, 165072.0)	(21.0, 238320.0)	(22.0, 365059.0)	(23.0, 578239.0)	(24.0, 893634.0)	(25.0, 1329010.0)	(26.0, 1898696.0)	(27.0, 2633000.0)	(28.0, 3548218.0)	(29.0, 4751336.0)	(30.0, 6351932.0)	(31.0, 8646991.0)	(32.0, 12265800.0)	(33.0, 18446846.0)	(34.0, 30628895.0)	(35.0, 60421863.0)	(36.0, 96027309.0)	(37.0, 2172348.0)
BACW_55_2_val_2	(11.0, 122.0)	(12.0, 759.0)	(13.0, 2490.0)	(14.0, 7034.0)	(15.0, 16394.0)	(16.0, 30817.0)	(17.0, 49200.0)	(18.0, 68610.0)	(19.0, 92881.0)	(20.0, 129061.0)	(21.0, 193361.0)	(22.0, 308155.0)	(23.0, 510066.0)	(24.0, 801919.0)	(25.0, 1221738.0)	(26.0, 1743665.0)	(27.0, 2454433.0)	(28.0, 3307884.0)	(29.0, 4486840.0)	(30.0, 5999868.0)	(31.0, 8260306.0)	(32.0, 11576894.0)	(33.0, 17580554.0)	(34.0, 29409198.0)	(35.0, 59059467.0)	(36.0, 100135201.0)	(37.0, 4120641.0)
BACW_56_1	(13.0, 9.0)	(14.0, 17.0)	(15.0, 116.0)	(16.0, 467.0)	(17.0, 1413.0)	(18.0, 3680.0)	(19.0, 8887.0)	(20.0, 21068.0)	(21.0, 47939.0)	(22.0, 104175.0)	(23.0, 214616.0)	(24.0, 416563.0)	(25.0, 741758.0)	(26.0, 1210253.0)	(27.0, 1858416.0)	(28.0, 2724157.0)	(29.0, 3857581.0)	(30.0, 5345018.0)	(31.0, 7324620.0)	(32.0, 10145412.0)	(33.0, 14680302.0)	(34.0, 23961604.0)	(35.0, 52850022.0)	(36.0, 158996829.0)	(37.0, 5314560.0)		
BACW_56_1_val_1	(13.0, 10.0)	(14.0, 34.0)	(15.0, 149.0)	(16.0, 547.0)	(17.0, 1573.0)	(18.0, 4170.0)	(19.0, 11037.0)	(20.0, 26127.0)	(21.0, 59963.0)	(22.0, 126522.0)	(23.0, 252179.0)	(24.0, 458133.0)	(25.0, 772529.0)	(26.0, 1202022.0)	(27.0, 1808656.0)	(28.0, 2595570.0)	(29.0, 3672758.0)	(30.0, 5040357.0)	(31.0, 6941778.0)	(32.0, 9551474.0)	(33.0, 13987943.0)	(34.0, 23052387.0)	(35.0, 51262079.0)	(36.0, 159032479.0)	(37.0, 9857067.0)		
BACW_56_2	(11.0, 38.0)	(12.0, 554.0)	(13.0, 2366.0)	(14.0, 6745.0)	(15.0, 14976.0)	(16.0, 28742.0)	(17.0, 48786.0)	(18.0, 75017.0)	(19.0, 107014.0)	(20.0, 152271.0)	(21.0, 225578.0)	(22.0, 354849.0)	(23.0, 570771.0)	(24.0, 897249.0)	(25.0, 1363315.0)	(26.0, 1981149.0)	(27.0, 2783495.0)	(28.0, 3800741.0)	(29.0, 5132128.0)	(30.0, 6910486.0)	(31.0, 9476588.0)	(32.0, 13531716.0)	(33.0, 20517944.0)	(34.0, 34524928.0)	(35.0, 69870740.0)	(36.0, 114848664.0)	(37.0, 2602632.0)
BACW_56_2_val_2	(11.0, 95.0)	(12.0, 727.0)	(13.0, 2508.0)	(14.0, 6354.0)	(15.0, 14413.0)	(16.0, 26471.0)	(17.0, 42388.0)	(18.0, 60691.0)	(19.0, 84602.0)	(20.0, 118821.0)	(21.0, 182227.0)	(22.0, 297299.0)	(23.0, 501910.0)	(24.0, 807983.0)	(25.0, 1251931.0)	(26.0, 1818646.0)	(27.0, 2585667.0)	(28.0, 3524599.0)	(29.0, 4826439.0)	(30.0, 6490401.0)	(31.0, 9003285.0)	(32.0, 12699919.0)	(33.0, 19432301.0)	(34.0, 32874117.0)	(35.0, 67737536.0)	(36.0, 120198724.0)	(37.0, 5127489.0)
