Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
BACW_55_1	(1.0, 70.88110813212471)	(2.0, 17.1302305977035)	(3.0, 4.445187611280569)	(4.0, 1.351913032595959)	(5.0, 0.5522654892572054)	(6.0, 0.30565878147772024)	(7.0, 0.21380698763926337)	(8.0, 0.16488635949794903)	(9.0, 0.1389339050272028)	('>10', 2.0629503223866563)	('>50', 0.821644929791829)	('>100', 1.4367827939103046)	('>500', 0.30161417260430856)	('>1k', 0.15344141721951668)	('>5k', 0.003024062625494901)	('>10k+', 0.03655140485773109)
BACW_55_1_val_1	(1.0, 70.8308570001129)	(2.0, 17.147690532814295)	(3.0, 4.491450706185991)	(4.0, 1.3347449159313511)	(5.0, 0.5571778004034112)	(6.0, 0.3096093234527445)	(7.0, 0.2227665217814004)	(8.0, 0.1778516017929518)	(9.0, 0.13791438787548568)	('>10', 2.0614630396378533)	('>50', 0.7941641808085393)	('>100', 1.4451700311906235)	('>500', 0.26617444022833675)	('>1k', 0.1641687435646748)	('>5k', 0.005243949409305228)	('>10k+', 0.05355282481008429)
BACW_55_2	(1.0, 71.56940784301626)	(2.0, 16.55998589742797)	(3.0, 4.335973381914573)	(4.0, 1.2995722482702516)	(5.0, 0.4881922881088961)	(6.0, 0.3175424418206453)	(7.0, 0.21373765064039768)	(8.0, 0.19280449665101276)	(9.0, 0.15787360322326516)	('>10', 2.1591617909673935)	('>50', 0.822461071269493)	('>100', 1.3649572000617045)	('>500', 0.2662417931070554)	('>1k', 0.17458644270735746)	('>5k', 0.014226521325058741)	('>10k+', 0.06327532948879683)
BACW_55_2_val_2	(1.0, 72.45871997115763)	(2.0, 16.050615530463254)	(3.0, 4.079351733102493)	(4.0, 1.3071869573150354)	(5.0, 0.4850595291523474)	(6.0, 0.2655417193739425)	(7.0, 0.2116797604945366)	(8.0, 0.17776891366481126)	(9.0, 0.15083603183509425)	('>10', 2.1727976242635)	('>50', 0.7776146456746272)	('>100', 1.3085780769052544)	('>500', 0.2846867765911729)	('>1k', 0.15739569790675234)	('>5k', 0.010796160158424347)	('>10k+', 0.10137087194113215)
BACW_56_1	(1.0, 67.38144625774986)	(2.0, 18.07653843251809)	(3.0, 5.474652353689226)	(4.0, 1.6492880800373748)	(5.0, 0.6756060863316313)	(6.0, 0.3723016229689444)	(7.0, 0.2645532977116707)	(8.0, 0.21268071506656305)	(9.0, 0.17177428640908263)	('>10', 2.2614603813800818)	('>50', 0.9429217721049604)	('>100', 1.811105794390665)	('>500', 0.3784713789979956)	('>1k', 0.25883192950512035)	('>5k', 0.017486537879144656)	('>10k+', 0.05088107325971687)
BACW_56_1_val_1	(1.0, 67.36381725238473)	(2.0, 18.09708212988484)	(3.0, 5.409794513956198)	(4.0, 1.6739186235529244)	(5.0, 0.7143921906366553)	(6.0, 0.3692382521429435)	(7.0, 0.2525263868125147)	(8.0, 0.2216258908230033)	(9.0, 0.18472280695726007)	('>10', 2.2612151334777826)	('>50', 0.945705407953934)	('>100', 1.7919967633930185)	('>500', 0.3524671239433354)	('>1k', 0.2703883858909187)	('>5k', 0.022479558851246525)	('>10k+', 0.06862957933881973)
BACW_56_2	(1.0, 68.05686293746804)	(2.0, 17.605906972781955)	(3.0, 5.193607063147197)	(4.0, 1.6168225061328871)	(5.0, 0.6215106722599747)	(6.0, 0.34423961444846646)	(7.0, 0.2594754669783815)	(8.0, 0.20861735651554802)	(9.0, 0.18170075520201961)	('>10', 2.4188268928906536)	('>50', 1.0143178342810897)	('>100', 1.753783882913395)	('>500', 0.36285883530400076)	('>1k', 0.25181216790216165)	('>5k', 0.029443466671314686)	('>10k+', 0.08021357510304529)
BACW_56_2_val_2	(1.0, 69.12347100566917)	(2.0, 16.941220721288786)	(3.0, 5.003462336444416)	(4.0, 1.619274482701104)	(5.0, 0.5993629897864664)	(6.0, 0.36008385530738823)	(7.0, 0.25340265294178865)	(8.0, 0.21653004308111184)	(9.0, 0.16367534281419804)	('>10', 2.365983298076175)	('>50', 0.9474381909964423)	('>100', 1.638496217510225)	('>500', 0.3538072847819535)	('>1k', 0.2618784042512515)	('>5k', 0.02648719706770917)	('>10k+', 0.12542597728178478)
BACW_57_1	(1.0, 71.36760051354739)	(2.0, 16.25711405470411)	(3.0, 4.241810661231973)	(4.0, 1.2949028626869286)	(5.0, 0.5298630228481314)	(6.0, 0.3024254285090244)	(7.0, 0.25358056697320286)	(8.0, 0.1727567089483496)	(9.0, 0.1308478746609495)	('>10', 2.2680140326227787)	('>50', 0.9800071464948061)	('>100', 1.5804000698685459)	('>500', 0.3239979923965688)	('>1k', 0.22722147101532508)	('>5k', 0.012959303375337346)	('>10k+', 0.05649829011646398)
BACW_57_1_val_1	(1.0, 71.2182696882632)	(2.0, 16.35728411849497)	(3.0, 4.2326613418611885)	(4.0, 1.2636278180228464)	(5.0, 0.5406902983811259)	(6.0, 0.29136599247855116)	(7.0, 0.24552619084651198)	(8.0, 0.19067896564081804)	(9.0, 0.17474878352579912)	('>10', 2.2604406721811725)	('>50', 0.9805321343493447)	('>100', 1.577100886726374)	('>500', 0.35310472624420014)	('>1k', 0.2094541143745823)	('>5k', 0.03241524437647832)	('>10k+', 0.07209902423277674)
